date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:01:24	112432/112432	---MCZ	200	added ('OK')	text/html	date:Thu,%2005%20Dec%202024%2019:01:23%20GMT	https://www.gotur.kz/tury/iz-almaty.html	./gotur-website/www.gotur.kz/tury/iz-almaty.html	(from https://www.gotur.kz/)
00:01:25	76831/76831	---MCZ	200	added ('OK')	text/html	date:Thu,%2005%20Dec%202024%2019:01:24%20GMT	https://www.gotur.kz/poisk-tura.html	./gotur-website/www.gotur.kz/poisk-tura.html	(from https://www.gotur.kz/)
00:01:26	66337/66337	---MCZ	200	added ('OK')	text/html	date:Thu,%2005%20Dec%202024%2019:01:25%20GMT	https://www.gotur.kz/aviabilety.html	./gotur-website/www.gotur.kz/aviabilety.html	(from https://www.gotur.kz/)
00:01:27	98221/98221	---MCZ	200	added ('OK')	text/html	date:Thu,%2005%20Dec%202024%2019:01:26%20GMT	https://www.gotur.kz/tury.html	./gotur-website/www.gotur.kz/tury.html	(from https://www.gotur.kz/)
00:01:28	243671/243671	---MCZ	200	added ('OK')	text/html	date:Thu,%2005%20Dec%202024%2019:01:27%20GMT	https://www.gotur.kz/tury/turciya/almaty.html	./gotur-website/www.gotur.kz/tury/turciya/almaty.html	(from https://www.gotur.kz/)
00:01:29	223119/223119	---MCZ	200	added ('OK')	text/html	date:Thu,%2005%20Dec%202024%2019:01:28%20GMT	https://www.gotur.kz/tury/thailand/almaty.html	./gotur-website/www.gotur.kz/tury/thailand/almaty.html	(from https://www.gotur.kz/)
00:01:30	227776/227776	---MCZ	200	added ('OK')	text/html	date:Thu,%2005%20Dec%202024%2019:01:29%20GMT	https://www.gotur.kz/tury/oae/almaty.html	./gotur-website/www.gotur.kz/tury/oae/almaty.html	(from https://www.gotur.kz/)
00:01:31	174839/174839	---MCZ	200	added ('OK')	text/html	date:Thu,%2005%20Dec%202024%2019:01:30%20GMT	https://www.gotur.kz/tury/india/almaty.html	./gotur-website/www.gotur.kz/tury/india/almaty.html	(from https://www.gotur.kz/)
00:01:32	228667/228667	---MCZ	200	added ('OK')	text/html	date:Thu,%2005%20Dec%202024%2019:01:31%20GMT	https://www.gotur.kz/tury/egypet/almaty.html	./gotur-website/www.gotur.kz/tury/egypet/almaty.html	(from https://www.gotur.kz/)
00:01:33	222476/222476	---MCZ	200	added ('OK')	text/html	date:Thu,%2005%20Dec%202024%2019:01:32%20GMT	https://www.gotur.kz/tury/vietnam/almaty.html	./gotur-website/www.gotur.kz/tury/vietnam/almaty.html	(from https://www.gotur.kz/)
